employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
17217,Analytics,region_22,Bachelors,f,other,1,33,5,3,1,0,82
71890,Procurement,region_26,Bachelors,m,other,3,33,4,5,1,0,68
52384,Sales & Marketing,region_2,Masters & above,f,sourcing,1,54,3,3,1,0,57
33100,Legal,region_22,Below Secondary,m,other,1,27,3,3,0,0,59
45883,Operations,region_22,Bachelors,f,sourcing,1,27,5,2,1,0,59
39086,Sales & Marketing,region_31,Masters & above,m,other,2,39,1,5,0,0,49
62374,Technology,region_33,Bachelors,m,other,1,41,3,7,0,0,78
26469,Operations,region_11,Bachelors,m,sourcing,2,29,4,5,0,0,57
69144,Operations,region_7,Bachelors,f,other,1,36,5,4,1,0,57
53091,Operations,region_15,Bachelors,m,sourcing,1,41,4,2,0,0,60
13523,Technology,region_15,Bachelors,m,sourcing,2,36,5,3,1,0,80
66899,Legal,region_13,Bachelors,m,other,3,32,5,1,0,0,57
39563,Sales & Marketing,region_33,Bachelors,m,sourcing,2,27,3,4,0,0,50
42695,Procurement,region_22,Masters & above,f,sourcing,1,39,1,10,0,0,70
11397,Sales & Marketing,region_28,Bachelors,m,other,1,34,1,9,0,0,52
9432,Analytics,region_22,Bachelors,f,other,1,30,4,7,0,0,89
61787,Technology,region_11,Bachelors,m,sourcing,1,30,4,4,1,0,83
30703,Technology,region_2,Bachelors,m,sourcing,1,41,3,10,0,1,97
53627,Procurement,region_7,Bachelors,m,other,1,31,3,5,1,0,65
71625,Procurement,region_22,Bachelors,m,sourcing,1,31,2,2,1,0,66
41087,Procurement,region_17,Bachelors,f,other,1,52,3,5,0,0,71
74618,Technology,region_7,Bachelors,m,sourcing,1,38,2,9,0,0,81
65388,Technology,region_2,Bachelors,m,other,1,32,5,4,1,0,77
68007,Technology,region_2,Bachelors,m,other,2,51,3,8,1,0,82
52959,Operations,region_15,Bachelors,f,sourcing,1,31,3,5,0,0,62
66570,Legal,region_2,Bachelors,m,other,1,47,3,5,1,0,56
31639,Legal,region_2,Below Secondary,m,sourcing,1,29,4,3,0,0,64
70898,Sales & Marketing,region_2,Bachelors,m,other,2,58,1,19,0,0,47
49023,Operations,region_22,Bachelors,m,sourcing,1,29,3,5,1,0,62
8104,Technology,region_19,Bachelors,f,sourcing,3,36,1,6,0,0,77
40485,Procurement,region_24,Bachelors,f,other,2,31,3,4,0,0,70
36871,Operations,region_11,Bachelors,f,other,1,30,5,3,0,0,59
34905,Technology,region_21,Masters & above,f,other,1,33,3,6,0,0,78
12771,Operations,region_11,Bachelors,m,sourcing,1,50,5,19,1,0,60
15191,Legal,region_7,Bachelors,f,other,1,30,5,4,0,0,58
42204,Sales & Marketing,region_12,Bachelors,m,sourcing,1,40,3,7,0,0,49
17429,Technology,region_26,Masters & above,m,other,1,39,3,14,0,0,77
52313,Sales & Marketing,region_2,Bachelors,m,sourcing,1,25,2,2,0,0,48
20358,Sales & Marketing,region_25,Bachelors,m,other,2,31,1,6,0,0,48
39801,HR,region_2,Masters & above,f,other,1,36,3,5,1,1,92
59490,Sales & Marketing,region_26,Bachelors,m,sourcing,1,33,3,8,0,0,48
29399,Analytics,region_22,Bachelors,m,other,2,31,3,5,0,0,86
11013,Operations,region_4,Bachelors,f,other,1,45,5,7,1,0,64
17324,Finance,region_16,Bachelors,m,other,2,32,3,8,0,0,59
57661,Procurement,region_14,Masters & above,f,other,1,36,3,9,1,0,70
61904,Procurement,region_23,Masters & above,m,sourcing,1,40,3,6,0,0,63
71321,HR,region_7,Bachelors,m,other,2,27,3,4,0,0,51
38792,Operations,region_13,Masters & above,f,other,1,51,3,8,0,0,59
12518,Operations,region_18,Bachelors,f,sourcing,1,35,3,10,0,0,61
42769,Operations,region_2,Masters & above,m,other,1,42,4,7,0,0,60
40532,Finance,region_20,Bachelors,f,sourcing,1,29,4,2,1,0,56
57748,Sales & Marketing,region_7,Masters & above,f,other,1,45,5,7,1,0,52
7304,Sales & Marketing,region_7,Bachelors,m,sourcing,1,34,2,9,0,0,45
15211,Operations,region_6,Bachelors,f,other,1,33,5,8,1,0,58
30480,Sales & Marketing,region_28,Masters & above,m,other,1,39,4,5,1,0,43
